-7	82	8	79	-9	66	-8	16	-7	52	-8	5	-9	85	4	17	-8	98	-4	76	-8	5	-6	75	-7	18	8	45	-7	18	-7	52	-7	43	-9	81	-9	85	-9	85	-9	37	1	5	-4	37	-9	81	-8	5	1	12	7	82	2	86	9	13	-7	43	2	14	-4	8	-9	8	7	82	5	5	4	95	-9	17	-8	4	-8	4	-8	4	-8	11	-9	13	-9	3	-9	8	-7	14	-6	26	3	79	0	1	3	93	4	13
4	8	0	29	6	36	4	37	-2	38	-9	66	0	73	-5	34	8	88	9	22	6	75	8	64	4	42	7	43	4	56	0	97	4	66	0	68	3	3	-1	21	0	87	8	64	8	35	9	17	0	5	7	57	4	71	0	87	0	39	6	99	6	5	0	92	7	14	9	3	-1	8	0	73	7	9	3	4	0	87	7	91	7	82	-3	83	8	64	8	98	-4	32	-3	2	-4	9	0	92	-1	46	3	64
99	99	99	99	9	3	9	27	9	3	9	27	99	99	7	33	7	57	9	37	6	17	-6	36	-6	89	-7	86	9	3	9	3	9	3	7	28	99	8	25	99	99	7	48	7	28	7	28	8	93	99	6	17	7	28	99	99	8	98	7	33	99	6	17	9	8	7	33	7	52	9	27	9	27	99	9	27	99	6	17	7	33	9	8	7	28	99	99	7	28	7	33	99	7	23	99	99	99	9	27	6
99	8	35	99	99	1	8	8	16	-2	82	6	21	99	1	84	7	33	6	6	6	31	8	11	-7	23	-6	65	1	17	-6	6	-3	64	-2	9	5	34	99	99	99	99	2	91	3	93	6	75	6	6	99	6	65	-6	12	99	7	57	6	21	6	65	99	-8	3	7	18	2	82	99	1	55	99	99	99	6	84	6	84	-3	98	6	99	3	45	99	6	94	1	55	7	67	99	6	55	99	99	99	99	0
8	5	4	61	-4	17	-5	39	1	36	1	6	7	4	4	61	0	44	5	73	8	25	6	84	-3	93	7	23	-2	33	-9	66	2	72	-1	36	2	57	4	51	8	2	6	12	8	3	-1	26	7	77	1	89	-1	17	5	68	8	45	4	61	8	6	-9	47	7	28	5	68	2	48	3	2	-1	26	6	8	4	51	2	48	0	34	6	84	0	19	-8	74	5	24	6	31	8	6	1	26	4	51	0	5
-6	17	-3	54	0	44	-8	5	-7	9	-4	32	-8	69	0	87	-6	65	-1	8	-6	8	-5	73	-5	-8	59	0	49	-8	93	-3	69	-2	18	-2	28	-6	12	-3	1	0	58	-2	38	-7	77	-2	23	-2	28	-5	24	-5	53	0	68	-6	94	-3	93	0	34	-6	6	-5	49	-1	55	0	49	-6	21	-8	6	-5	39	-7	4	-8	83	-7	91	1	7	-1	89	-6	36	-4	22	-9	27	-9	81	-7	82	0	63	-6
99	99	99	99	8	59	-9	85	7	72	8	79	99	99	4	27	7	62	-6	26	2	96	6	7	-3	5	-2	9	6	17	5	15	4	42	5	63	2	43	99	99	4	13	7	9	7	33	7	18	0	92	99	5	15	5	87	99	99	7	96	3	79	99	1	55	99	3	11	6	26	99	99	99	6	99	3	2	99	7	33	4	71	3	54	99	2	28	8	5	9	22	99	8	16	99	99	99	99	-1	5	5
6	84	3	16	9	17	-6	21	-8	16	-1	7	9	27	1	41	-5	19	-4	42	8	2	-7	86	-6	94	-7	96	0	29	-9	9	-7	9	-7	18	1	2	0	29	-4	71	-7	43	1	12	-8	25	3	79	0	1	3	45	-3	45	7	57	-4	17	0	44	9	27	5	83	-3	4	-5	44	1	6	-7	14	3	1	-6	7	5	68	-6	46	-4	42	-8	98	0	53	-1	26	-4	42	-8	93	8	93	0	1	7	43
-3	79	-3	54	-9	42	-6	89	-8	74	0	29	-5	29	-8	93	-7	86	-1	6	-2	91	0	29	-4	85	0	49	-8	74	-6	99	-8	74	-2	91	-3	35	0	29	3	98	-1	6	0	29	1	21	3	79	2	91	4	85	2	28	0	97	0	29	6	36	0	53	0	29	4	66	3	35	0	97	-3	11	-1	84	4	42	-4	42	-1	41	1	41	-5	34	-6	99	1	41	5	1	1	84	0	29	0	53	0	29
3	1	5	15	5	15	3	1	6	41	5	15	8	93	2	52	3	1	8	16	5	53	6	2	4	47	5	44	-4	66	0	97	0	44	1	55	0	49	4	37	5	44	5	24	6	6	3	1	6	2	6	8	2	91	5	15	3	5	5	15	6	6	0	1	3	11	6	5	9	22	7	86	3	1	6	5	3	1	7	67	6	6	5	15	3	1	4	27	6	8	6	8	9	22	5	73	5	44	4	85
